Zodiac,Profession
gemini,Politician
gemini,Diplomat
scorpio,Businessperson
libra,Civil engineer
libra,Writer
libra,Politician
libra,Editing
libra,Translation
libra,Poet
aries,Journalist
virgo,Crown attorney
taurus,Politician
taurus,Military
cancer,Chartered Certified Accountant
scorpio,Military
scorpio,Jurisprudence
gemini,Professor
pisces,Politician
scorpio,Architect
scorpio,Politician
sagittarius,Politician
sagittarius,Teacher
sagittarius,Lawyer
taurus,Car dealerships in North America
taurus,Pharmacist
libra,Lecturer
aries,Lawyer
pisces,Politician
leo,Teacher
aquarius,Academia
aquarius,Chancellor (education)
aquarius,Teacher
aries,Diplomacy
aquarius,Politician
aquarius,Politician
aries,Politician
aries,Professor
taurus,Physician
taurus,Dentist
aquarius,Lawyer
aries,Certified Public Accountant
sagittarius,Lawyer
sagittarius,Judge
sagittarius,Politician
sagittarius,Lawyer
leo,Politician
leo,Fur trade
taurus,Lawyer
aquarius,Journalist
aquarius,Politician
virgo,Trade union
virgo,Teacher
gemini,Lawyer
leo,Journalist
leo,Politician
leo,Editing
capricorn,Royal Engineers
capricorn,Lawyer
virgo,Lawyer
aquarius,Lawyer
aquarius,Politician
aries,Diplomat
gemini,Politician
gemini,Farmer
virgo,Lawyer
virgo,Politician
pisces,Mayor of St. Louis
sagittarius,Lawyer
sagittarius,Politician
gemini,Barristers in England and Wales
pisces,Lawyer
capricorn,Physician
virgo,Lawyer
aquarius,Professor
pisces,Lawyer
pisces,Politician
aquarius,Lawyer
aquarius,Lawyer
virgo,Lawyer
libra,Politician
libra,Publishing
libra,Editing
libra,Printer (publishing)
taurus,Politician
sagittarius,Brigadier general
cancer,Captain general
scorpio,Politician
scorpio,Officer (armed forces)
capricorn,Teacher
sagittarius,Certified Public Accountant
gemini,Lawyer
gemini,Politician
libra,Revolutionary
aries,Officer (armed forces)
pisces,List of commandants of the Illinois Country
pisces,Doctor of Medicine
aries,Lawyer
libra,Historian
libra,Journalist
libra,Politician
scorpio,Revolutionary
scorpio,Public figure
taurus,Politician
scorpio,Lawyer
gemini,Lawyer
aries,Lawyer
virgo,Electrician
scorpio,Economist
scorpio,Professor
cancer,Field marshal
libra,Army general
capricorn,Politician
capricorn,Diplomat
sagittarius,Lawyer
sagittarius,Politician
cancer,Physician
cancer,Politician
libra,Journalist
libra,Politician
cancer,Diplomat
scorpio,Priest
libra,Politician
libra,Veterinary physician
cancer,Lawyer
cancer,Politician
gemini,Economist
gemini,Attorneys in the United States
aries,Syndicalism
aries,Politician
aries,Politician
aquarius,Politician
aquarius,Film director
aquarius,List of opera directors
taurus,Historian
taurus,Soldier
taurus,Politician
scorpio,Lawyer
scorpio,Soldier
scorpio,Politician
aquarius,Lawyer
aquarius,Businessperson
capricorn,Lawyer
capricorn,Politician
aquarius,Politician
aquarius,Bank
taurus,Lawyer
aquarius,Politician
pisces,Citizenship judge
leo,Lawyer
gemini,Politician
gemini,Bank
gemini,Stockbroker
scorpio,Lawyer
aries,Lawyer
aries,Judge
taurus,Rough Riders
taurus,Politician
libra,Attorneys in the United States
taurus,Lawyer
taurus,Physician
virgo,Society of Jesus
libra,Politician
taurus,Politician
taurus,Editing
virgo,Lawyer
virgo,Politician
scorpio,Civil service
taurus,Lawyer
cancer,Politician
cancer,Businessperson
aries,American_Labor_Leaders
scorpio,Lawyer
gemini,Prosecutor
sagittarius,Journalist
taurus,Artist
taurus,Physician
taurus,Photographer
taurus,Surgeon
aries,Lawyer
virgo,General practitioner
sagittarius,Journalism
sagittarius,Lawyer
leo,Illinois House of Representatives
gemini,Lawyer
gemini,Journalist
capricorn,Journalist
capricorn,Politician
aries,Accounting
aries,Bank
aries,Politician
aries,Bank
aquarius,Media proprietor
sagittarius,Lawyer
sagittarius,Politician
libra,Politician
libra,Teacher
virgo,Agriculture
capricorn,Politician
pisces,Politician
pisces,Farmer
pisces,Businessperson
pisces,Missionary
pisces,Veterinary physician
aquarius,Lawyer
capricorn,Public relations
capricorn,Business
capricorn,Farmer
leo,Politician
leo,Newspaper
taurus,Teacher
taurus,Investment
taurus,Private equity
pisces,Lawyer
sagittarius,Mining
sagittarius,Military
taurus,Trade union
taurus,Lobbying
leo,Pharmacist
virgo,Politician
virgo,Attorney at law
virgo,Lawyer
aquarius,Lawyer
aquarius,Politician
aquarius,Official
libra,Lawyer
libra,Politician
cancer,Attorneys in the United States
sagittarius,Lawyer
sagittarius,Politician
sagittarius,Grocery store
sagittarius,Bank
sagittarius,Lawyer
aquarius,Politician
aquarius,Lawyer
gemini,Historian
pisces,Lawyer
aquarius,Historian
libra,Diplomat
sagittarius,Lawyer
sagittarius,Writer
virgo,Inspector general
libra,Divisional general
libra,Historian
libra,Teacher
leo,Lawyer
gemini,Trade union
gemini,Professor
taurus,Lawyer
virgo,Journalist
leo,Pharmacist
aries,Soldier
taurus,Forester
taurus,Legislator
gemini,Agriculture
gemini,Lobbying
aries,Lawyer
virgo,Attorney at law
taurus,Lawyer
cancer,Politician
cancer,Actor
cancer,Radio personality
leo,Politician
pisces,Lawyer
capricorn,Judge
capricorn,Attorneys in the United States
capricorn,Arbitral tribunal
gemini,Politician
gemini,Pharmacist
libra,Politics of the United States
aquarius,Lawyer
scorpio,Lawyer
scorpio,Academician
aquarius,Construction worker
taurus,Legislator
pisces,Real estate broker
sagittarius,Physician
libra,Industrial engineering
leo,Lawyer
leo,Politician
leo,Politician
leo,Bank
aquarius,Diplomat
taurus,Trade union
virgo,Lawyer
virgo,Politician
libra,Lawyer
libra,Politician
pisces,Lawyer
libra,Lawyer
leo,Soldier
aquarius,Agriculture
capricorn,Dentist
sagittarius,Accountant
cancer,Politician
cancer,Bank
capricorn,Minister (Christianity)
leo,Physician
capricorn,County attorney
pisces,Lawyer
pisces,Judge
libra,Lawyer
leo,Lawyer
leo,Politician
scorpio,Real estate broker
scorpio,Car dealership
scorpio,Office management
cancer,Lawyer
cancer,Writer
cancer,Politician
cancer,Editing
taurus,Physician
aries,Architect
aries,Civil engineer
pisces,Lawyer
taurus,Lawyer
virgo,Politics
scorpio,Ophthalmology
scorpio,Hygiene
aries,Reichswehr
aries,Lawyer
aries,Philosopher
cancer,Lawyer
sagittarius,Politician
sagittarius,Publishing
aquarius,Politician
pisces,Journalist
pisces,Media consultant
aries,Theology
aries,Professor
aries,Academic administration
scorpio,Sailor
virgo,Civil engineering
libra,Military
pisces,Politician
pisces,Officer (armed forces)
gemini,Legislative council
aquarius,Agronomy
libra,Surgeon
scorpio,Judge
taurus,Lawyer
taurus,Judge
sagittarius,Zoology
sagittarius,Entomology
sagittarius,Archaeology
sagittarius,Arachnology
gemini,Lawyer
scorpio,Theology
pisces,Attorney at law
aries,Pharmacist
aries,Lawyer
capricorn,Businessperson
sagittarius,Economist
pisces,Ulama
capricorn,Journalist
capricorn,Agriculture
capricorn,Law
capricorn,Priest
capricorn,Politician
aries,Physician
aries,Politician
pisces,Teacher
pisces,First Lady
pisces,Bank teller
gemini,Politician
gemini,Diplomat
aquarius,Ophthalmology
aquarius,Politician
pisces,Lawyer
aries,Physician
aries,Syndicalism
aries,Politician
taurus,International Brotherhood of Teamsters
taurus,Truck driver
cancer,Journalist
gemini,Physician
taurus,Politician
gemini,Businessperson
capricorn,Pharmacist
virgo,Politician
cancer,Society of Jesus
capricorn,Journalist
taurus,Mathematician
scorpio,Business magnate
scorpio,Software
libra,Lawyer
libra,Politician
virgo,Engineering
leo,Teacher
virgo,Politician
virgo,Politician
capricorn,Sociology
pisces,Politician
aquarius,Politician
aquarius,Economist
gemini,Politician
gemini,Entrepreneurship
gemini,Jurist
aquarius,Politician
aquarius,Jurist
aquarius,Politician
pisces,Jurist
cancer,Diplomat
pisces,Journalist
cancer,Hotel
virgo,Politician
cancer,Civil engineer
aquarius,Lawyer
aquarius,Politician
libra,Architect
virgo,Political science
cancer,Lawyer
aries,Economist
taurus,Lawyer
taurus,Economist
aquarius,Political science
leo,Economist
leo,Entrepreneurship
capricorn,Lawyer
scorpio,Military
capricorn,Lawyer
capricorn,Politician
gemini,Sociology
capricorn,Lawyer
sagittarius,Lawyer
aquarius,Economist
sagittarius,Physician
sagittarius,Engineering management
virgo,Economist
virgo,Professor
virgo,Physician
aries,Economist
virgo,Lawyer
leo,Economist
aquarius,Physician
leo,Businessperson
leo,Economist
capricorn,Diplomat
aquarius,Mechanical engineering
cancer,Judge
gemini,Politician
pisces,Accountant
sagittarius,Librarian
cancer,Economist
cancer,Academia
aries,Law
capricorn,Journalist
capricorn,Politician
taurus,Lawyer
virgo,Barrister
aquarius,Physician
cancer,Suffragette
cancer,Reform movement
cancer,Politician
pisces,Accounting
scorpio,Politician
virgo,Economist
virgo,Historian
virgo,Writer
virgo,Missionary
virgo,Teacher
virgo,Academia
virgo,Attorney at law
virgo,Social work
virgo,Bank
virgo,Ranch
aries,Lawyer
taurus,Lawyer
taurus,Teacher
taurus,Federal judge
virgo,American football
virgo,Civil engineer
libra,Soldier
libra,Rebellion
pisces,Electrical engineering
capricorn,Electrician
scorpio,Lawyer
aries,Politician
leo,Astrophysics
capricorn,Writer
capricorn,Journalist
capricorn,Sociology
capricorn,Management
virgo,Lawyer
libra,Lawyer
taurus,Businessperson
taurus,Politician
taurus,Actor
pisces,Politician
pisces,Funeral home
capricorn,Farmer
pisces,Chiropractor
cancer,Certified Public Accountant
taurus,Businessperson
taurus,Attorneys in the United States
pisces,Lobbying
pisces,Politician
taurus,Lawyer
taurus,Attorneys in the United States
libra,Attorneys in the United States
capricorn,San Antonio
capricorn,Commissioner
aquarius,Journalist
virgo,Economics
gemini,Physician
gemini,Surgeon
virgo,Lawyer
virgo,Judge
cancer,Surgeon
cancer,Radiology
virgo,Professor
cancer,Politician
cancer,Intestacy
aries,Politician
aries,Businessperson
gemini,Bank
libra,Politician
capricorn,Writer
capricorn,Politician
capricorn,Social work
virgo,Farmer
cancer,Advertising
cancer,Public relations
pisces,Economist
cancer,Civil service
cancer,Teacher
capricorn,Politician
capricorn,Businessperson
sagittarius,Lawyer
libra,Accountant
capricorn,Diplomat
aries,Soldier
scorpio,Jurist
capricorn,Journalist
cancer,Vicar
sagittarius,Lawyer
sagittarius,Leather
sagittarius,Politician
scorpio,Lawyer
gemini,Mining engineering
gemini,Cadastre
pisces,Lawyer
leo,Politician
sagittarius,Soldier
leo,Lawyer
capricorn,Foreign relations of the United States
libra,Orthopedic surgery
aries,Physician
scorpio,Attorney at law
capricorn,Soldier
pisces,Teacher
sagittarius,Lawyer
sagittarius,Judge
sagittarius,Politician
sagittarius,Teacher
sagittarius,Justice of the peace
cancer,Entrepreneurship
cancer,Land agent
cancer,Proprietor
leo,Lawyer
gemini,Scholarly method
pisces,Diplomat
aquarius,Lawyer
aquarius,Politician
aquarius,Editing
pisces,Chemical engineer
capricorn,Professional agrologist
taurus,Journalist
virgo,Entrepreneurship
sagittarius,Barrister
pisces,Agriculture
pisces,Politician
pisces,Dairy farming
capricorn,Lawyer
leo,Lawyer
leo,Politician
gemini,Lawyer
virgo,Politician
cancer,Lawyer
aries,Attorneys in the United States
libra,Politician
scorpio,Lawyer
virgo,Lawyer
virgo,Politician
aries,Professor
taurus,Lawyer
taurus,Politician
libra,Politician
taurus,Lawyer
virgo,United States federal judge
scorpio,Scientist
aquarius,Attorneys in the United States
scorpio,Businessperson
virgo,Lawyer
virgo,Law
taurus,Teacher
sagittarius,Professor
capricorn,Lawyer
aries,Lawyer
capricorn,Merchant
capricorn,Politician
leo,Legislator
capricorn,Politician
aquarius,Editing
cancer,Lawyer
cancer,Politician
aries,Physician
aquarius,Politician
gemini,Politician
gemini,Businessperson
leo,Lawyer
sagittarius,Merchant
virgo,Accountant
virgo,Bookselling
gemini,Lawyer
gemini,Plantations in the American South
taurus,Academia
taurus,Chancellor (education)
scorpio,Lawyer
sagittarius,Lawyer
sagittarius,Union Army
sagittarius,Idaho
taurus,Businessperson
scorpio,Physician
aries,Lawyer
sagittarius,Academia
sagittarius,Chancellor (education)
sagittarius,Dean (education)
leo,Politician
leo,Real estate broker
gemini,Mining
gemini,Merchant
gemini,Ranch
aquarius,Lawyer
aquarius,Bank
scorpio,Veterinary surgery
gemini,Politician
gemini,Flint Michigan
scorpio,Lawyer
scorpio,Politician
aries,Lawyer
pisces,Businessman (film)
pisces,Lawyer
pisces,Politician
pisces,Bank
pisces,Lawyer
pisces,Politician
sagittarius,United States federal judge
sagittarius,Lawyer
capricorn,Soldier
capricorn,Politician
virgo,Politician
virgo,Plantations in the American South
leo,Lawyer
leo,Politician
aries,Lawyer
leo,Lawyer
leo,Soldier
leo,Politician
libra,Businessperson
cancer,Politician
leo,Physician
leo,Politician
pisces,Lawyer
capricorn,Blacksmith
sagittarius,Lawyer
pisces,Lawyer
pisces,Politician
pisces,Ranch
libra,Steamboat
pisces,Diplomacy
scorpio,Lawyer
scorpio,Professor
aries,Lawyer
pisces,Businessperson
pisces,Pharmacist
aquarius,Lawyer
aquarius,Politician
aquarius,Teacher
aquarius,Lawyer
aries,Bank
pisces,Judge
scorpio,Lawyer
leo,United States federal judge
gemini,Business
gemini,Philanthropy
aquarius,Engineer
scorpio,Lawyer
scorpio,Politician
scorpio,Accountant
libra,Lawyer
libra,Teacher
cancer,Lawyer
leo,Family medicine
leo,Author
leo,Lawyer
leo,Politician
leo,Professor
pisces,Soldier
pisces,Official
virgo,Insurance
cancer,Blacksmith
cancer,Politician
cancer,Baseball
cancer,Politician
cancer,Businessperson
aquarius,Lawyer
aquarius,Politician
capricorn,Lawyer
capricorn,Politician
sagittarius,Attorney at law
taurus,Lawyer
aries,Miner
aries,Storekeeper
leo,Civil engineer
virgo,Politician
virgo,Teacher
cancer,Lawyer
scorpio,Politician
scorpio,Businessperson
scorpio,Politician
cancer,Politician
virgo,Chancellor (education)
virgo,Dean (education)
virgo,Lawyer
virgo,Soldier
virgo,Lawyer
taurus,Lawyer
taurus,Writer
taurus,Politician
gemini,Lawyer
gemini,Politician
gemini,Plantations in the American South
sagittarius,Politician
virgo,Real estate broker
libra,Physician
libra,Civil service
scorpio,Law
gemini,Advocate
virgo,Brewing
cancer,Politician
cancer,Diplomat
cancer,Businessperson
virgo,Lumber
taurus,Soldier
virgo,Crown attorney
taurus,Diplomat
taurus,Officer (armed forces)
aries,Engineer
aries,Politician
gemini,Politician
gemini,Typesetting
gemini,Revolutionary
libra,Politician
libra,Economist
libra,Member of parliament
libra,Professor
pisces,Jurist
pisces,Diplomat
pisces,Member of parliament
leo,Journalist
leo,Politician
scorpio,Diplomat
scorpio,Civil service
sagittarius,Soldier
pisces,Insurance broker
virgo,Lawyer
gemini,Politician
leo,Teacher
scorpio,Attorneys in the United States
libra,Head teacher
virgo,Attorneys in the United States
pisces,Diplomacy
leo,Medical research
leo,Professor
virgo,Lawyer
libra,Magistrate
aries,Soldier
libra,Professor
leo,Lawyer
virgo,Politician
gemini,Lawyer
gemini,Politician
aquarius,Politician
virgo,Jurist
gemini,Political science
leo,Engineering economics
aries,Economics
libra,Historian
scorpio,Lawyer
capricorn,Civil engineer
pisces,Lawyer
aries,Lawyer
virgo,Veterinary physician
taurus,Lawyer
taurus,Lobbying
taurus,Economist
taurus,Diplomat
gemini,Lawyer
capricorn,Physician
gemini,Political science
aries,Lawyer
sagittarius,Agriculture
sagittarius,Advocate
taurus,Physician
leo,Physicist
leo,Professor
taurus,Jurist
capricorn,Lawyer
scorpio,Historian
scorpio,Politics
scorpio,Professor
capricorn,Teacher
capricorn,Politician
cancer,Lawyer
cancer,Politician
cancer,Politician
capricorn,Journalist
capricorn,Politician
pisces,Priest
virgo,Politician
libra,Politician
sagittarius,Politician
sagittarius,Economist
capricorn,Civil engineer
sagittarius,Bank
cancer,Lawyer
cancer,Politician
capricorn,Minnesota Historical Society
aries,Politician
gemini,Lawyer
leo,Physician
leo,Politician
leo,Farmer
leo,Businessperson
leo,Professor
leo,Lawyer
leo,Bank
aquarius,Lawyer
leo,Teacher
leo,Electrical engineering
cancer,Judge
pisces,Politician
cancer,Orderly
cancer,Union organizer
leo,Businessperson
leo,Teacher
scorpio,Lawyer
aquarius,Marketing management
capricorn,Teacher
capricorn,Monk
gemini,Physicist
cancer,Lawyer
gemini,Politician
scorpio,Economist
aries,Philosopher
aries,Journalist
aquarius,Jurist
libra,Jurist
libra,Politician
pisces,Neurology
gemini,Indian Administrative Service
virgo,Watchmaker
taurus,Politician
taurus,Cheesemaking
scorpio,Lawyer
gemini,Lawyer
aries,Agriculture
aries,Businessperson
aries,Politician
leo,Agricultural science
leo,Education
leo,Politician
sagittarius,Political science
aquarius,Trade union
aquarius,Politician
pisces,Lawyer
pisces,Journalist
pisces,Professor
pisces,Law
virgo,Diplomatic corps
scorpio,Businessperson
pisces,Engineer
aries,Author
aries,Education
leo,Engineer
leo,Politician
leo,Economist
libra,Political science
libra,Economist
sagittarius,Soldier
sagittarius,Farmer
sagittarius,Teacher
taurus,Politician
taurus,Professor
capricorn,Armenians
libra,Jurist
gemini,Legislator
gemini,Attorneys in the United States
capricorn,Farmer
capricorn,Attorney at law
leo,Farmer
taurus,Psychologist
taurus,Teacher
virgo,Law
capricorn,Officer (armed forces)
aries,Lawyer
virgo,Lawyer
virgo,Politician
virgo,Academia
libra,Solicitor
pisces,Lawyer
pisces,Judge
pisces,Politician
gemini,Lawyer
virgo,Professor
pisces,Lawyer
pisces,Politician
sagittarius,List of biographers
sagittarius,Academic administration
sagittarius,Scholarly method
cancer,Professor
pisces,Teacher
cancer,Professor
virgo,Teacher
scorpio,Journalist
scorpio,Jurist
scorpio,Politician
virgo,Soldier
cancer,Historian
cancer,Journalist
cancer,Teacher
virgo,Journalist
virgo,Politician
virgo,Entrepreneurship
aquarius,Neurology
scorpio,Politician
capricorn,Politics
capricorn,Journalist
leo,Lawyer
leo,Law
scorpio,Lawyer
scorpio,Politician
aquarius,Politician
aquarius,Entrepreneurship
scorpio,Surgeon
scorpio,Politician
virgo,Lawyer
virgo,Politician
capricorn,Firefighter
pisces,Biomedical scientist
scorpio,Journalist
aries,Politician
aries,Economist
capricorn,Teacher
cancer,Attorneys in the United States
aries,Federal Bureau of Investigation
virgo,Economist
virgo,Professor
virgo,United States Foreign Service
virgo,Landscape architect
aquarius,Real estate broker
aquarius,Economist
cancer,Politician
cancer,Professor
aries,Lawyer
aries,Politician
taurus,Lawyer
gemini,Politician
cancer,Professor
virgo,Bank
leo,Bank
cancer,Lawyer
sagittarius,Economist
sagittarius,Judge
capricorn,Politician
pisces,the-family-rosaceae-in-india
pisces,browse.php?action=list_records&cur_page=194
libra,Agriculture
libra,Politician
libra,Businessperson
pisces,Entrepreneurship
aquarius,Civil service
capricorn,Politician
capricorn,Attorneys in the United States
capricorn,Attorneys in the United States
taurus,Lobbying
taurus,Legislator
leo,Faculty of Advocates
cancer,Engineer
cancer,Geologist
taurus,Soldier
taurus,Consultant
virgo,Engineer
virgo,Businessperson
aquarius,Barristers in England and Wales
aries,Solicitor
cancer,Barrister
scorpio,Civil engineer
virgo,Lawyer
virgo,Indian independence movement
sagittarius,Lawyer
libra,Lawyer
libra,Politician
cancer,Lawyer
aries,Politician
aries,Police officer
capricorn,Faculty of Advocates
virgo,Barrister
taurus,Insurance broker
taurus,Small business
pisces,Prepress
aquarius,Economist
virgo,Physician
capricorn,Civil engineer
sagittarius,Politician
sagittarius,Attorney at law
pisces,Lawyer
pisces,Judge
pisces,Politician
pisces,Miner
capricorn,Lawyer
capricorn,Politician
capricorn,Lecturer
aries,Businessperson
cancer,Lawyer
cancer,Politician
cancer,Pastor
virgo,Politician
leo,Physician
taurus,Trade union
taurus,Politician
pisces,Engineer
pisces,Politician
gemini,Lawyer
aries,Attorneys in the United States
sagittarius,Politician
sagittarius,Civil service
sagittarius,Military
scorpio,Chancellor (education)
scorpio,Philosophy
pisces,Lawyer
virgo,Lawyer
virgo,Academic administration
libra,Diplomat
gemini,Barrister
libra,Certified Public Accountant
libra,Real estate broker
libra,Attorneys in the United States
libra,Diplomat
cancer,Diplomat
pisces,Soldier
sagittarius,Businessperson
sagittarius,Entrepreneurship
aquarius,Economist
pisces,Political science
gemini,Socionom
aries,Trade union
taurus,Politician
virgo,Politician
virgo,Businessperson
aries,Economist
virgo,Wikt:statesman
leo,Philanthropy
leo,Investor
leo,Licentiate
leo,Entrepreneurship
aquarius,Lawyer
virgo,Politician
cancer,Economist
cancer,Diplomat
scorpio,Businessperson
leo,Politician
scorpio,Baker
cancer,Dairy farming
capricorn,Civil service
aries,Lawyer_Political_Leader
aries,Governor
aquarius,Veterinary physician
libra,Business
libra,Legislation
libra,Professional boxing
taurus,Journalist
taurus,Teacher
scorpio,Doctor of both laws
scorpio,Jurisprudence
scorpio,Lawyer
scorpio,Engineer
scorpio,Photoengraving
leo,Economist
leo,Lawyer
aquarius,Historian
aquarius,Lawyer
aquarius,Economist
aries,Lawyer
aries,Diplomat
capricorn,Politician
scorpio,Politician
pisces,Civil engineer
gemini,Lawyer
aries,Lawyer
aries,Judge
aries,Politician
libra,Jurist
libra,Politician
scorpio,Jurist
scorpio,Politician
aquarius,Businessperson
gemini,Judge
aquarius,Real estate broker
scorpio,Architecture
leo,Government
leo,Law
capricorn,Accountant
capricorn,Teacher
libra,Politician
libra,Businessperson
leo,Business
gemini,Jurist
taurus,Politician
aries,Ethnography
aries,Politician
aries,Politician
scorpio,Jurist
pisces,Jurist
libra,Jurist
libra,Politician
virgo,Jurist
sagittarius,Academia
leo,Economist
leo,Diplomat
taurus,Politician
gemini,Journalist
gemini,Politician
gemini,Spokesperson
leo,Lawyer
leo,Politician
leo,Sociology
libra,Jurist
cancer,Politician
sagittarius,Politician
scorpio,Politician
capricorn,Politician
scorpio,Politician
libra,Jurist
libra,Politician
leo,Teacher
leo,Journalist
capricorn,Politician
taurus,Politician
aries,Jurist
aries,Politician
leo,Politician
leo,Poet
sagittarius,Field hockey
sagittarius,Professor
sagittarius,Geologist
libra,Politician
aries,Agronomy
capricorn,Politician
taurus,Lieutenant general
taurus,Officer (armed forces)
sagittarius,Lawyer
gemini,Police officer
leo,Professor
leo,Chancellor
leo,Lawyer
sagittarius,Lawyer
taurus,Mechanical engineering
gemini,Physician
taurus,Politician
cancer,Politician
aries,Playwright
aries,Poet
virgo,Politician
virgo,Lawyer
leo,Lawyer
leo,Invention
leo,Politician
virgo,Lawyer
virgo,Businessperson
pisces,Lawyer
pisces,Politician
libra,Lawyer
scorpio,Chiropractor
leo,Political science
leo,Meteorology
leo,Physician
leo,Natural history
leo,Professor
cancer,Lawyer
cancer,Farmer
cancer,Teacher
cancer,Police commissioner
virgo,Politician
capricorn,Bookkeeping
capricorn,Merchant
libra,Politician
libra,Barber
libra,Chancellor (education)
libra,Minister (Christianity)
leo,Chemist
leo,Academic administration
gemini,Dentist
cancer,United States Army
virgo,Lawyer
virgo,Politician
libra,Pharmacy
cancer,Civil engineer
taurus,Law
leo,Lawyer
libra,Lawyer
libra,Politician
leo,Diplomat
scorpio,Politician
scorpio,Diplomat
cancer,Lawyer
cancer,Politician
aries,Lawyer
aquarius,Attorney at law
aries,Business magnate
aquarius,Politician
aquarius,Managing editor
aquarius,Diplomacy
leo,Lawyer
leo,Politician
leo,Certified Public Accountant
capricorn,Lawyer
capricorn,Politician
capricorn,Lieutenant Governor of Massachusetts
gemini,Lawyer
gemini,Judge
gemini,Politician
gemini,Teacher
pisces,Lawyer
scorpio,Businessperson
scorpio,Financier
pisces,Economist
virgo,Politician
gemini,Lawyer
pisces,Metallurgy
pisces,Professor
pisces,Surgeon
capricorn,Lawyer
aquarius,Lawyer
sagittarius,Diplomacy
pisces,Physician
libra,Politician
cancer,Barristers in England and Wales
aquarius,Lawyer
virgo,Lawyer
virgo,Bulgarian nationality law
sagittarius,Businessperson
sagittarius,Entrepreneurship
capricorn,Hydraulic engineering
cancer,Politician
virgo,Lawyer
virgo,Politician
taurus,Doctor of Medicine
libra,Legal profession
scorpio,Lawyer
scorpio,Judge
scorpio,Politician
scorpio,Bank
sagittarius,Faculty of Advocates
capricorn,Lawyer
capricorn,Politician
libra,Lawyer
libra,Journalist
libra,Businessperson
leo,Lawyer
aries,Actuary
aries,Politician
aries,Entrepreneurship
cancer,Lawyer
libra,Architect
libra,Clergy
leo,Teacher
aquarius,List of lieutenant governors of Newfoundland and Labrador
libra,Veterinary physician
libra,Philosophy
capricorn,Physician
sagittarius,Teacher
taurus,Economist
aries,Dentist
virgo,Politician
virgo,Attorney at law
aries,Lawyer
virgo,Diplomat
gemini,General practitioner
sagittarius,Physician
aries,Teacher
scorpio,Management consulting
virgo,Jurist
aquarius,Physician
cancer,Lawyer
scorpio,Small business
scorpio,Insurance
scorpio,Merchant
scorpio,Shipbuilding
scorpio,Ship-owner
capricorn,Judge
capricorn,Jurist
scorpio,Teacher
aquarius,Politician
aries,Research
aries,Economist
aries,Business engineering
aquarius,Vicar
aquarius,Civil service
virgo,Politician
aquarius,Geographer
aquarius,Radio producer
aquarius,Social work
cancer,Agriculture
cancer,Politician
cancer,Businessperson
scorpio,Businessperson
gemini,Politician
gemini,Activism
cancer,Farmer
pisces,Lawyer
taurus,Politician
cancer,Barrister
aries,Civil service
aries,Lawyer
capricorn,Lawyer
capricorn,Judge
capricorn,Military
pisces,Lawyer
aries,Jurist
libra,Lawyer
aquarius,Lawyer
aquarius,Diplomacy
gemini,Barber
sagittarius,Officer (armed forces)
leo,Lawyer
virgo,Physicist
gemini,Aerospace engineering
aries,Lawyer
aquarius,Veteran
libra,Engineer
sagittarius,Development_consultant
gemini,Lawyer
aquarius,Teacher
libra,Lawyer
gemini,Funeral director
cancer,Public speaking
pisces,Lawyer
pisces,Coach (sport)
libra,Social work
gemini,Software engineer
pisces,Academia
gemini,Economist
aquarius,Bank
scorpio,Lawyer
scorpio,Diplomat
scorpio,Lawyer
scorpio,Professor
sagittarius,Air National Guard
virgo,Seaman
sagittarius,Teacher
leo,Teacher
gemini,Businessperson
sagittarius,Accountant
capricorn,Canaan Connecticut
aries,Dentist
capricorn,Lawyer
gemini,Insurance
gemini,Businessperson
gemini,Real estate
virgo,Physician
sagittarius,Businessperson
aquarius,Lawyer
aquarius,Politician
libra,Railroad engineer
taurus,Haberdasher
virgo,Physician
capricorn,Journalist
capricorn,Politician
libra,Research_Physicist
cancer,Photographer
cancer,Businessperson
cancer,Sailor
taurus,Diplomat
sagittarius,Otorhinolaryngology
gemini,Diplomat
virgo,Barrister
gemini,Lawyer
sagittarius,Journalist
gemini,Businessperson
leo,Pharmacist
leo,Professor
cancer,Teacher
pisces,Farmer
capricorn,Photographic processing
virgo,Dairy farming
sagittarius,Lawyer
aries,Psychologist
aries,Dean (education)
capricorn,Politician
aquarius,Businessperson
capricorn,Agriculture
libra,Diplomat
leo,Physician
aries,Ophthalmology
cancer,Diplomat
gemini,Lawyer
sagittarius,Lawyer
sagittarius,Business
leo,Dentist
gemini,Lawyer
capricorn,Faculty of Advocates
cancer,Art
cancer,Author
aquarius,Ice hockey
aquarius,Politician
aquarius,Businessperson
taurus,Businessperson
taurus,Professor
aquarius,Public policy
aquarius,Legislative assistant
scorpio,Lawyer
scorpio,Journalist
libra,Politician
scorpio,Teacher
libra,Economist
libra,Agronomy
virgo,Lawyer
taurus,Scientist
taurus,Academic administration
cancer,Politician
cancer,Statistician
aquarius,Consultant
leo,Dentist
aquarius,Chemical engineer
aries,Politician
aries,Social work
pisces,Lawyer
pisces,Politician
pisces,Ambassador
gemini,Lawyer
gemini,Politician
leo,Activism
libra,Politician
taurus,Farmer
cancer,Farmer
virgo,Lawyer
taurus,Farmer
gemini,Bank
cancer,Journalist
cancer,Spokesperson
cancer,News presenter
capricorn,Dentist
sagittarius,Jurist
taurus,Business magnate
sagittarius,Politician
sagittarius,Economist
aries,Politician
aries,Economist
virgo,Brewing
