Zodiac,Profession
aquarius,Solicitor
leo,Lawyer
sagittarius,Academic administration
scorpio,Politician
pisces,Chartered accountant
cancer,Soldier
gemini,Physicist
virgo,Barrister
sagittarius,Lawyer
taurus,Lawyer
gemini,Politician
aquarius,Lawyer
pisces,Jurist
pisces,Politician
capricorn,Diplomacy
aries,Politician
virgo,Lawyer
pisces,Economics
taurus,Marketing
capricorn,Lawyer
taurus,Economist
leo,Lawyer
scorpio,Lawyer
scorpio,Politician
scorpio,Diplomat
pisces,Lawyer
virgo,Jurist
aquarius,Architect
aquarius,Politician
cancer,Diplomat
sagittarius,Prosecutor
gemini,Lawyer
taurus,Rear admiral
scorpio,Diplomacy
aries,Lawyer
libra,Physician
sagittarius,Sheriff
taurus,University of Chicago
capricorn,Member of parliament
capricorn,Justice of the peace
virgo,Military
gemini,Physician
leo,Lawyer
aries,Civil engineer
aquarius,Lawyer
taurus,Lawyer
taurus,Lawyer
aries,Economist
libra,Engineer
libra,Economist
libra,Political science
libra,Blog
taurus,Judge
taurus,Prosecutor
libra,Professor
taurus,Politician
taurus,Academia
pisces,Civil engineer
gemini,Technician
libra,Politician
capricorn,Acting
libra,Lawyer
libra,Journalist
gemini,Journalist
gemini,Politician
gemini,External_and_Institutional_Director_Hitachi_Rail_Italy
taurus,Solicitor
aquarius,Barrister
sagittarius,Physician
virgo,Political consulting
sagittarius,Business administration
sagittarius,Police officer
libra,Lawyer
gemini,Lawyer
capricorn,Economist
leo,Real estate
leo,Attorneys in the United States
sagittarius,Soldier
leo,Social work
capricorn,Politician
leo,Soldier
leo,Politician
aries,Plantations in the American South
aries,Officer (armed forces)
capricorn,Lawyer
virgo,Politician
virgo,Economist
scorpio,Lawyer
scorpio,Bank
scorpio,Financier
gemini,Politician
leo,Lawyer
leo,Judge
cancer,Lawyer
cancer,Politician
cancer,Barrister
cancer,Lawyer
scorpio,Lawyer
pisces,Politician
pisces,Businessperson
sagittarius,Teacher
taurus,Skiing
aries,Physician
aries,Scientist
leo,Draper
capricorn,Solicitor
leo,Physician
virgo,Mechanical engineering
capricorn,Mechanical engineering
gemini,Lawyer
scorpio,Lawyer
scorpio,Judge
scorpio,Politician
leo,Faculty of Advocates
cancer,Lawyer
cancer,Judge
cancer,Politician
cancer,Farmer
scorpio,Lawyer
scorpio,Judge
scorpio,Politician
gemini,Architect
libra,Minister (Christianity)
libra,Teacher
capricorn,Lawyer
capricorn,Politician
capricorn,Farmer
capricorn,Surveying
capricorn,Editing
capricorn,Teacher
capricorn,Officer (armed forces)
capricorn,Media proprietor
gemini,Faculty of Advocates
virgo,Teacher
virgo,Head teacher
leo,Politician
gemini,Physician
virgo,Lawyer
aquarius,Lawyer
aquarius,Journalist
cancer,Wikt:Statesman
capricorn,Jurist
aries,Priest
cancer,Historian
sagittarius,Engineer
sagittarius,Economist
pisces,Jurist
sagittarius,Jurist
capricorn,Politician
capricorn,Public figure
capricorn,Stringer (journalism)
cancer,Biologist
cancer,Surgeon
aquarius,Teacher
leo,Lawyer
aries,Civil engineer
aries,Lawyer
leo,Economist
cancer,Lawyer
capricorn,Physician
capricorn,Politician
libra,Lawyer
libra,Economist
libra,Agronomy
aries,Surgeon
aquarius,Lawyer
libra,Jurist
aries,Lawyer
virgo,Insurance
aries,Lithography
sagittarius,Military
virgo,Literary editor
gemini,Soldier
gemini,Accountant
gemini,Wool classing
aries,Auction
scorpio,Physician
scorpio,Professor
scorpio,Politician
scorpio,Actor
scorpio,Television presenter
gemini,Farmer
aquarius,Architect
scorpio,Military
leo,Lawyer
gemini,Diplomat
gemini,Scholarly method
capricorn,Teacher
virgo,Civil service
gemini,Jurist
pisces,Physician
capricorn,Publishing
capricorn,Professor
cancer,Engineer
gemini,Politician
gemini,Politician
cancer,Agriculture
taurus,Lawyer
pisces,Librarian
cancer,Women's rights
cancer,Politics
cancer,Teacher
capricorn,Civil service
capricorn,Teacher
leo,Lawyer
pisces,Politician
aquarius,Lawyer
aquarius,Journalist
aquarius,Politician
aquarius,Diplomat
pisces,Lawyer
aquarius,Barrister
pisces,Consultant
pisces,Civil engineer
pisces,Quantity surveyor
sagittarius,Social work
virgo,Politician
libra,Lawyer
taurus,Politician
taurus,Teacher
virgo,Politician
pisces,Teacher
pisces,Head teacher
pisces,Plumber
scorpio,Secretary
libra,Lawyer
aquarius,Professor
aquarius,Agriculture
aquarius,Social work
aquarius,Philology
gemini,Professor
gemini,Acting
gemini,Lawyer
gemini,Physician
gemini,Psychiatrist
virgo,Politician
pisces,Farmer
virgo,Politician
gemini,Agriculture
leo,Universalist Church of America
aquarius,Politician
aquarius,Businessperson
capricorn,Politician
capricorn,Tax collector
taurus,Society of Jesus
pisces,Society of Jesus
taurus,Economist
taurus,Trade union
taurus,Lecturer
taurus,Lawyer
taurus,Journalist
taurus,Businessperson
scorpio,Tutor
virgo,Writer
taurus,Officer (armed forces)
taurus,Lawyer
taurus,Medical research
taurus,Surgeon
aquarius,Politician
virgo,Lawyer
virgo,Politician
scorpio,Politician
scorpio,Minister (Christianity)
pisces,Lawyer
pisces,Politician
sagittarius,Politician
sagittarius,Diplomat
sagittarius,Secretary
libra,Literary criticism
gemini,Lawyer
cancer,Lawyer
capricorn,Lawyer
capricorn,Historic preservation
capricorn,Ranch
virgo,Lawyer
pisces,Attorney at law
taurus,Journalist
taurus,Civil service
libra,Sociology
capricorn,Businessperson
cancer,Lawyer
aquarius,Politician
libra,Lawyer
capricorn,Farmer
virgo,Politician
sagittarius,Basketball
sagittarius,Civil service
leo,Chartered Surveyor
scorpio,Politician
scorpio,Businessperson
scorpio,Bank
capricorn,Politician
scorpio,Economist
leo,Lawyer
leo,Journalist
leo,Politician
gemini,Lawyer
leo,Politician
scorpio,Brigadier general
leo,Senate of the Philippines
sagittarius,Veracruz
aries,Politician
gemini,Professor
libra,Anthropology
aquarius,Lawyer
aries,Politician
leo,Physician
virgo,Lawyer
aquarius,Officer (armed forces)
capricorn,Lawyer
taurus,Professor
virgo,Economist
aries,Officer (armed forces)
cancer,Journalist
gemini,Teacher
taurus,Teacher
taurus,Social work
capricorn,Lawyer
capricorn,Lawyer
gemini,Diplomat
leo,Politics of Afghanistan
virgo,Politician
aquarius,Lawyer
sagittarius,Journalist
pisces,Lawyer
libra,Politician
libra,Teacher
virgo,Lawyer
taurus,Politician
taurus,Civil service
leo,Politician
taurus,Diplomacy
sagittarius,Politician
aquarius,Lecturer
leo,Politician
leo,Bank
libra,Lawyer
libra,Politician
virgo,Economist
aquarius,Politician
aquarius,Justice of the peace
virgo,Lawyer
virgo,Legislator
scorpio,Lawyer
virgo,Faculty of Advocates
libra,Lawyer
libra,Politician
libra,Social work
capricorn,Surgeon
libra,Attorneys in the United States
pisces,Officer (armed forces)
virgo,Prosthodontics
aquarius,Philosophy of science
sagittarius,Teacher
capricorn,Accountant
capricorn,Registered nurse
pisces,Teacher
libra,Politician
libra,Economist
gemini,Economics
scorpio,Real estate
virgo,Agricultural engineering
sagittarius,Politician
sagittarius,Officer (armed forces)
aries,Agronomy
scorpio,Plantations in the American South
libra,Politician
sagittarius,Officer (armed forces)
sagittarius,Shooting at the Summer Olympics
sagittarius,Nortraship
aquarius,Jurist
sagittarius,Teacher
taurus,Agronomy
taurus,Lawyer
gemini,Dry cleaning
aries,Plantations in the American South
pisces,Economist
aquarius,Economist
aries,Dairy
taurus,Lawyer
taurus,Mayor
virgo,Financial analyst
cancer,Illinois House of Representatives
sagittarius,Armenians
pisces,Diplomat
gemini,Politician
aquarius,Dentist
scorpio,Politician
gemini,Lawyer
capricorn,Optometry
aries,Surveyor General
sagittarius,Journalist
sagittarius,Farmer
sagittarius,Business executive
leo,Politician
sagittarius,Diplomat
sagittarius,Philanthropy
sagittarius,Attorney at law
pisces,Barrister
cancer,Politician
gemini,Roboticist
gemini,Social work
gemini,Attorneys in the United States
pisces,Lawyer
pisces,Politician
pisces,Lawyer
gemini,Commerce
pisces,Investment banking
pisces,Politician
aquarius,Lawyer
libra,Lawyer
capricorn,Lawyer
aries,Engineer
taurus,Attorneys in the United States
scorpio,Business administration
scorpio,Lawyer
cancer,Lawyer
aquarius,Economist
gemini,Military
sagittarius,Linguistics
capricorn,Physician
scorpio,World Bank
scorpio,Journalist
virgo,Politician
pisces,Politician
leo,Politician
leo,Activism
libra,Economist
capricorn,Politician
aquarius,Historian
leo,Merchant
leo,Politician
aquarius,Lawyer
aquarius,Lawyer
aquarius,Plantations in the American South
capricorn,Politician
capricorn,Pastor
scorpio,Minister (Christianity)
pisces,Lawyer
pisces,Politician
pisces,Businessperson
pisces,Social work
capricorn,Lawyer
taurus,Lawyer
taurus,Politician
capricorn,Fighter pilot
libra,John F. Kennedy School of Government
libra,Belfer Center for Science and International Affairs
libra,Harvard University
aquarius,Lawyer
scorpio,Lawyer
scorpio,Politician
virgo,Agriculture
virgo,Lawyer
cancer,Farmer
cancer,Businessperson
leo,Farmer
sagittarius,Social work
gemini,Scientist
sagittarius,Physician
libra,Lawyer
capricorn,Politician
gemini,Lawyer
aries,Model (people)
libra,Business
pisces,Farmer
virgo,Agriculture
virgo,Politician
scorpio,Lawyer
pisces,Attorneys in the United States
aquarius,Diplomat
aquarius,Politician
pisces,Businessperson
aries,Politician
aries,Economist
aries,Professor
aries,Social work
scorpio,Economist
cancer,Tumandar
cancer,Agronomy
virgo,Officer (armed forces)
libra,Civil service
libra,Lawyer
libra,Professor
capricorn,Journalist
capricorn,Poet
capricorn,Activism
capricorn,Farmer
aries,Economist
capricorn,Politician
capricorn,Politician
libra,Legislator
cancer,Lawyer
cancer,Politician
leo,Politician
aquarius,Economist
aquarius,Diplomat
virgo,Journalist
pisces,Physicist
leo,Consultant
pisces,Economist
sagittarius,Physician
gemini,Lawyer
taurus,Admiral
scorpio,Teacher
cancer,Judge
capricorn,Lawyer
libra,Lawyer
libra,Politician
pisces,Lawyer
pisces,Judge
pisces,Politician
taurus,Diplomat
taurus,Lawyer
gemini,Diplomat
cancer,Civil engineer
leo,Economist
libra,Civil engineer
libra,General contractor
taurus,Diplomacy
taurus,Teacher
aquarius,Businessperson
cancer,Electrical engineering
cancer,Politician
aries,Lawyer
gemini,Neurology
capricorn,Engineer
libra,Politician
leo,Lawyer
pisces,Philosophy
pisces,Military
cancer,Diplomat
scorpio,Engineer
cancer,Politician
sagittarius,Business economics
sagittarius,Audit
cancer,Television presenter
libra,Lawyer
libra,Politician
sagittarius,Surgeon
capricorn,Judge
cancer,Farmer
cancer,Businessperson
aquarius,Attorneys in the United States
libra,Land use
libra,Legislator
gemini,Lawyer
gemini,United States Army
gemini,Lawyer
cancer,Lawyer
cancer,Politician
cancer,Diplomat
aquarius,Ulama
