Zodiac,Continent of Birth,Religion,Profession
gemini,NA,NA,News presenter
virgo,NA,NA,Politician
aquarius,NA,NA,Political science
aquarius,NA,NA,Sociology
NA,NA,NA,Spokesperson
sagittarius,NA,NA,Jurist
sagittarius,NA,NA,Politician
aquarius,NA,NA,Jurist
aquarius,NA,NA,Politician
capricorn,NA,NA,Radio personality
libra,NA,Muslim,Law enforcement officer
sagittarius,NA,Christian,Revolutionary
leo,NA,Christian,Politician
cancer,South America,Christian,Lawyer
capricorn,NA,NA,Politician
NA,South America,NA,Chemical substance
NA,South America,NA,Professor
aquarius,North America,NA,Architect
aquarius,North America,NA,Urban planner
leo,South America,Christian,Lawyer
scorpio,NA,Christian,Soldier
scorpio,NA,Christian,Politician
scorpio,NA,Christian,Ranch
aries,North America,NA,Attorneys in the United States
taurus,North America,NA,Businessperson
leo,NA,NA,Lawyer
sagittarius,NA,NA,Politician
aquarius,NA,Christian,Anesthesiologist
NA,NA,NA,Police officer
aries,NA,NA,Politician
scorpio,NA,Christian,Teacher
NA,NA,Christian,Paramedic
NA,NA,Christian,Firefighter
NA,NA,Christian,Real estate broker
scorpio,North America,NA,Cherry
gemini,NA,Christian,Teacher
gemini,NA,Christian,Legislator
cancer,NA,Muslim,Agriculture
libra,NA,NA,Politician
aries,NA,NA,Politician
cancer,NA,NA,Social work
NA,NA,NA,Professor_Economics_Public_Policy
NA,NA,NA,Lawyer
aquarius,NA,NA,Actor
aries,NA,NA,Real estate
libra,NA,Christian,Engineer
aries,NA,Christian,Solicitor
capricorn,Europe,Christian,Advocate
capricorn,NA,NA,Politician
taurus,NA,Christian,Politician
taurus,NA,Hindu,Barrister
sagittarius,NA,NA,Faculty of Advocates
sagittarius,NA,NA,Faculty of Advocates
libra,NA,NA,Management consulting
taurus,NA,NA,Businessperson
taurus,South America,NA,Lawyer
taurus,Asia,Christian,Politician
leo,Africa,Hindu,Teacher
sagittarius,NA,Hindu,Agriculture
leo,NA,NA,Agriculture
leo,NA,NA,Politician
cancer,NA,Hindu,Businessperson
leo,Africa,NA,Chief Medical Officer
aries,NA,NA,Politician
aries,NA,NA,Teacher
aries,NA,NA,Social work
pisces,NA,NA,Lawyer
taurus,Asia,Christian,Actor
virgo,NA,NA,Politician
cancer,NA,NA,Lawyer
cancer,NA,NA,Politician
scorpio,NA,Christian,Housewife
NA,NA,NA,Faculty of Advocates
aquarius,North America,NA,Cryptanalysis
aries,NA,NA,Lawyer
aries,NA,NA,Politician
capricorn,Europe,NA,Optician
scorpio,Europe,NA,Politician
gemini,NA,NA,Social work
pisces,Europe,NA,Diplomat
pisces,Europe,NA,Entrepreneurship
pisces,NA,NA,Nursing
libra,Europe,NA,History of art
gemini,NA,Christian,Physician
pisces,Europe,Christian,Solicitor
leo,NA,NA,Law
NA,North America,NA,Forester
NA,North America,NA,County commission
gemini,Europe,Christian,Civil service
leo,NA,NA,Pediatrics
NA,Oceania,NA,Physician
leo,NA,NA,Nursing
